code_commune,nom_commune,num_bdv,code_circ,inscrits,votants,exprimes,participation,eu_left,eu_ctr,eu_lr,eu_rn
95051,Beauchamp,1,3,713,379,368,53.16,36.68,14.95,8.42,33.15
95051,Beauchamp,2,3,815,461,451,56.56,33.92,16.41,6.87,35.48
95051,Beauchamp,3,3,813,458,450,56.33,35.78,17.11,7.56,32.44
95051,Beauchamp,4,3,652,371,358,56.9,27.65,21.79,7.82,35.2
95051,Beauchamp,5,3,863,425,413,49.25,36.56,13.8,7.02,36.56
95051,Beauchamp,6,3,780,391,386,50.13,34.46,19.43,7.25,33.68
95051,Beauchamp,7,3,893,484,472,54.2,33.47,18.86,7.84,32.84
95051,Beauchamp,8,3,810,472,459,58.27,32.68,15.03,9.8,35.08
95052,Beaumont-sur-Oise,1,1,1159,514,507,44.35,37.87,10.26,3.16,37.28
95052,Beaumont-sur-Oise,2,1,1220,632,618,51.8,34.47,12.3,4.69,40.61
95052,Beaumont-sur-Oise,3,1,1074,564,546,52.51,37.36,9.71,4.76,39.38
95052,Beaumont-sur-Oise,4,1,1008,474,460,47.02,43.7,10.43,5.87,33.26
95052,Beaumont-sur-Oise,5,1,1276,533,521,41.77,50.29,8.64,2.69,32.05
95054,Le Bellay-en-Vexin,1,1,153,104,103,67.97,29.13,12.62,1.94,42.72
95055,Bellefontaine,1,9,262,165,163,62.98,24.54,10.43,3.68,51.53
95056,Belloy-en-France,1,2,1408,754,739,53.55,24.9,10.83,6.63,49.26
95058,Bernes-sur-Oise,1,1,850,426,407,50.12,37.59,9.09,5.41,42.26
95058,Bernes-sur-Oise,2,1,876,437,422,49.89,35.55,9.48,4.74,44.31
95059,Berville,1,1,276,154,152,55.8,27.63,13.16,6.58,37.5
95060,Bessancourt,1,3,1055,576,567,54.6,37.04,14.64,6.17,34.92
95060,Bessancourt,2,3,903,501,496,55.48,32.86,14.31,6.65,37.7
95060,Bessancourt,3,3,897,344,333,38.35,40.24,12.61,3.3,35.44
95060,Bessancourt,4,3,842,471,464,55.94,34.91,13.58,7.76,36.42
95060,Bessancourt,5,3,910,427,417,46.92,37.65,11.51,4.8,36.21
95060,Bessancourt,6,3,813,430,420,52.89,39.76,7.86,5.0,39.76
95061,Béthemont-la-Forêt,1,3,340,215,212,63.24,28.3,13.68,8.49,39.62
95063,Bezons,1,5,1336,597,587,44.69,60.99,10.39,3.58,18.74
95063,Bezons,2,5,1009,426,417,42.22,60.43,7.67,3.6,19.9
95063,Bezons,3,5,881,401,395,45.52,56.2,11.14,3.29,23.04
95063,Bezons,4,5,917,469,459,51.15,44.44,14.38,4.14,30.72
95063,Bezons,5,5,829,341,331,41.13,67.37,6.95,0.6,19.64
95063,Bezons,6,5,1127,488,478,43.3,60.04,8.37,3.77,23.22
95063,Bezons,7,5,913,397,384,43.48,44.79,10.16,4.69,33.59
95063,Bezons,8,5,892,418,410,46.86,42.68,10.98,5.85,32.44
